Country,Place,Start date,End date,Level,url,update,Confirmed
Belgium,,2020-03-18,2020-04-19,National,https://www.theguardian.com/world/gallery/2020/mar/18/belgium-enters-lockdown-over-coronavirus-crisis-in-pictures,2020-03-20,False
United States,"Kansas City,KS",2020-03-24,2020-04-19,City,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html,2020-03-21,False
Liberia,Margibi,2020-03-23,2020-04-11,County,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus,2020-03-21,False
Turkey,,2020-04-11,2020-04-13,National,https://www.reuters.com/article/us-health-coronavirus-tunisia-army-idUSKBN21A2EH,2020-03-23,False
Costa Rica,,2020-03-23,2020-04-17,National,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1582-gobierno-endurece-medidas-sanitarias-para-impedir-contagio-de-covid-19,2020-03-23,False
Brazil,São Paulo,2020-03-24,2020-04-08,State,https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml,2020-03-23,False
Australia,,2020-03-23,2020-04-28,National,https://www.straitstimes.com/asia/australianz/australia-starts-lockdown-measures-as-coronavirus-cases-jump,2020-03-23,False
China,Xianning,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Chile,,2020-03-19,2020-04-17,National,https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632,2020-03-24,False
China,Shiyan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Xiantao,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Ezhou,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Tianmen,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Luxembourg,,2020-03-18,2020-04-19,National,https://www.15min.lt/naujiena/aktualu/lietuva/vyriausybeje-susauktas-pasitarimas-del-koronaviruso-skelbs-tolimesniu-veiksmu-plana-56-1289458,2020-03-24,False
China,Shennongjia,2020-01-27,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Spain,,2020-03-14,2020-04-25,National,https://www.theguardian.com/world/2020/mar/23/south-africa-to-go-into-21-day-lockdown-on-thursday-night,2020-03-24,False
Russia,Moscow,2020-03-30,2020-05-01,Metropolitan area,https://www.digi24.ro/stiri/actualitate/klaus-iohannis-anunta-carantina-totala-in-romania-tot-ce-era-pana-acum-recomandare-devine-obligatoriu-masurile-in-vigoare-de-maine-1280363,2020-03-24,False
China,Jingmen,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Enshi,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Yichang,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
India,,2020-03-25,2020-04-30,National,https://www.indiatoday.in/india/story/novel-coronavirus-covid19-latest-news-update-india-lockdown-confirmed-positive-cases-deaths-uk-usa-italy-iran-china-1658922-2020-03-24,2020-03-24,False
Venezuela,,2020-03-17,2020-04-20,National,https://www.nbcchicago.com/news/coronavirus/wisconsin-governor-issues-order-closing-businesses/2243503/,2020-03-24,False
Zimbabwe,,2020-03-30,2020-04-19,National,https://www.reuters.com/article/us-health-coronavirus-venezuela-maduro/venezuelas-to-implement-nationwide-quarantine-as-coronavirus-cases-rise-to-33-idUSKBN214015,2020-03-24,False
China,Xiaogan,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Suizhou,2020-01-24,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
China,Huanggang,2020-01-23,2020-03-25,City,https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown,2020-03-24,True
Pakistan,Sindh,2020-03-24,2020-04-14,Province,https://arynews.tv/en/cm-punjab-usman-buzdar-lockdown-punjab/,2020-03-25,False
Pakistan,Balochistan,2020-03-24,2020-04-21,Province,https://tribune.com.pk/story/2181138/1-sindh-govt-mulls-total-lockdown-provincial-covid-19-tally-crosses-350/,2020-03-25,False
Netherlands,,2020-03-16,2020-04-28,National,https://www.thejakartapost.com/travel/2020/03/24/nepal-locks-down-for-a-week-to-stem-coronavirus-spread.html,2020-03-25,False
Morocco,,2020-03-19,2020-04-20,National,https://balkaninsight.com/2020/03/25/montenegro-places-first-town-under-total-quarantine/,2020-03-25,False
Philippines,Luzon,2020-03-15,2020-04-30,Island group,https://www.rappler.com/nation/255097-davao-region-coronavirus-lockdown-begins,2020-03-25,False
Oman,Muscat,2020-04-10,2020-04-22,Region,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter,2020-03-25,False
Pakistan,Punjab,2020-03-24,2020-04-14,Province,https://arynews.tv/en/azad-jammu-and-kashmir-pm-lockdown/,2020-03-25,False
Qatar,Doha Industrial Area,2020-03-11,2020-04-20,Industrial park,https://www.theportugalnews.com/news/state-of-emergency-explained/53448,2020-03-25,False
Pakistan,Gilgit-Baltistan,2020-03-22,2020-04-21,Administrative,https://tribune.com.pk/story/2183565/1-balochistan-goes-lockdown-untill-april-7/,2020-03-26,False
Indonesia,Tegal,2020-03-26,2020-07-31,City,https://jateng.suara.com/read/2020/03/26/142841/pertama-di-indonesia-walikota-umumkan-tegal-lockdown,2020-03-26,False
Finland,Uusimaa,2020-03-27,2020-04-16,Region,https://yle.fi/uutiset/osasto/news/finland_shuts_down_uusimaa_to_fight_coronavirus/11276242,2020-03-27,False
Philippines,Cebu,2020-03-27,2020-04-30,Province,https://gestion.pe/peru/politica/coronavirus-en-peru-gobierno-anuncia-cuarentena-obligatorio-por-15-dias-por-coronavirus-noticia/,2020-03-27,False
Algeria,Blida,2020-03-23,2020-04-19,City,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-30,False
Peru,,2020-03-16,2020-04-26,National,https://www.nytimes.com/reuters/2020/03/20/world/americas/20reuters-health-coronavirus-paraguay.html,2020-03-30,False
Saudi Arabia,Medina,2020-03-26,2020-04-21,City,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Rwanda,,2020-03-21,2020-04-19,National,https://www.france24.com/en/20200330-moscow-goes-into-lockdown-urges-other-russian-regions-to-take-measures-to-curb-coronavirus-spread,2020-03-30,False
Saudi Arabia,Qatif,2020-03-09,2020-04-21,Area,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Algeria,Algiers,2020-03-23,2020-04-19,City,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-30,False
Bolivia,,2020-03-22,2020-04-15,National,https://www.euronews.com/2020/03/19/coronavirus-which-countries-are-under-lockdown-and-who-s-next,2020-03-30,False
Liberia,Montserrado,2020-03-23,2020-04-11,County,https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/,2020-03-30,False
Libya,,2020-03-22,2020-04-20,National,https://www.liberianobserver.com/news/montserrado-margibi-lockdown-amid-covid-19-fears/,2020-03-30,False
Saudi Arabia,Riyadh,2020-03-26,2020-04-21,City,https://www.aljazeera.com/news/2020/03/saudi-locks-qatif-coronavirus-surges-gulf-200308142809697.html,2020-03-30,False
Madagascar,Toamasina,2020-03-23,2020-04-21,City,https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323,2020-03-30,False
Malaysia,,2020-03-18,2020-04-28,National,https://www.news24.com/Africa/News/everyone-stay-at-home-madagascar-orders-lockdown-of-two-main-cities-in-virus-fight-20200323,2020-03-30,False
Ghana,Kumasi,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-03-30,False
Iraq,,2020-03-22,2020-04-11,National,https://www.thestar.com.my/news/regional/2020/03/22/iraq-on-total-lockdown-until-march-28-over-virus-fears,2020-03-30,False
Saudi Arabia,Mecca,2020-03-26,2020-04-21,City,https://www.thestar.com.my/news/regional/2020/03/29/saudi-arabia-puts-fourth-city-on-lockdown-over-coronavirus,2020-03-30,False
Cuba,,2020-03-23,2020-04-20,National,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_7b694d17a78f2c02d7c76570e1726508,2020-03-31,False
Lithuania,,2020-03-16,2020-04-27,National,https://www.libyanexpress.com/libya-on-lockdown-from-6-00-pm-to-6-00-am-amid-coronavirus-preventive-measures/,2020-03-31,False
Philippines,Davao Region,2020-03-19,2020-04-30,Region,https://www.cnnphilippines.com/regional/2020/3/26/Cebu-Province-enhanced-community-quarantine.html,2020-03-31,False
Croatia,Murter,2020-03-25,2020-04-19,Municipality,https://vijesti.hrt.hr/595672/hrt-na-murteru-policijska-blokada-prijeci-svako-kretanje,2020-04-01,False
Brazil,Santa Catarina,2020-03-17,2020-04-07,State,https://g1.globo.com/sc/santa-catarina/noticia/2020/03/29/casos-de-pacientes-com-coronavirus-sobe-para-197-em-sc-e-governo-prorroga-quarentena.ghtml,2020-04-01,False
Fiji,Suva,2020-04-03,2020-04-17,City,https://www.rnz.co.nz/international/pacific-news/413281/fiji-confirms-two-new-covid-19-cases-suva-will-go-into-lockdown,2020-04-02,False
Israel,Bnei Brak,2020-04-02,2020-04-17,City,https://www.timesofisrael.com/liveblog-april-2-2020/,2020-04-02,False
Romania,,2020-03-25,2020-05-12,National,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison,2020-04-03,False
South Africa,,2020-03-26,2020-04-15,National,https://www.straitstimes.com/singapore/health/most-workplaces-to-close-schools-will-move-to-full-home-based-learning-from-next,2020-04-03,False
Republic of the Congo,,2020-03-31,2020-04-20,National,https://www.msn.com/en-xl/news/other/covid-19-lagos-brazzaville-lockdown-begins/ar-BB11ZAhn,2020-04-03,False
Botswana,,2020-04-02,2020-04-30,National,https://www.msn.com/en-za/news/africa/botswana-declares-state-of-emergency-lockdown-in-wake-of-covid-19-cases/ar-BB11X4lP?li=BBqfWMJ,2020-04-03,False
Bulgaria,,2020-03-13,2020-05-13,National,https://www.segabg.com/hot/category-bulgaria/gerb-udulzhi-izvunrednoto-polozhenie-podkrepata-na-dps,2020-04-04,False
Serbia,,2020-03-21,,National,https://www.zdravlje.gov.rs/vest/346687/informacije-o-novom-korona-virusu-2103-u-8-casova.php,2020-04-04,False
Senegal,,2020-03-30,,National,https://qz.com/africa/1827789/coronavirus-ghana-senegal-burkina-faso-shut-down/,2020-04-04,False
United States,New Mexico,2020-03-24,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Sierra Leone,,2020-04-04,2020-04-10,National,http://www.rfi.fr/en/international/20200406-sierra-leone-begins-72-hour-lockdown-after-6th-coronavirus-case-reported-covid-19,2020-04-04,False
United States,New Jersey,2020-03-21,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,New Hampshire,2020-03-27,2020-05-04,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Montana,2020-03-28,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Missouri,2020-04-03,2020-04-24,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Michigan,2020-03-24,2020-04-14,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Maryland,2020-03-30,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Maine,2020-04-02,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Louisiana,2020-03-23,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Mauritius,,2020-03-24,2020-04-15,National,https://ionnews.mu/video-covid-19-lockdown-renforce-supermarches-et-boulangeries-fermes-jusquau-31-mars-24032020/,2020-04-04,False
Monaco,,2020-03-14,,National,https://www.hellomonaco.com/news/latest-news/closure-of-creches-and-schools-in-monaco-and-increasing-prudent-restrictions-due-to-coronavirus/,2020-04-04,False
United States,New York,2020-03-22,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Texas,2020-04-02,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Kansas,2020-03-30,2020-04-19,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Tennessee,2020-04-02,2020-04-14,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Washington,2020-03-25,2020-05-04,State,https://www.washingtontimes.com/news/2020/apr/2/washington-state-stay-at-home-order-extended-throu/,2020-04-04,False
United States,Rhode Island,2020-03-30,2020-04-26,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,West Virginia,2020-03-24,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Pennsylvania,2020-04-01,2020-04-26,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Oregon,2020-03-23,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Vermont,2020-03-25,2020-04-15,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Germany,,2020-03-23,2020-04-20,National,https://www.dw.com/en/germany-wont-lift-coronavirus-restrictions-before-april-20-chancellory/a-52947201,2020-04-04,False
United States,Wisconsin,2020-03-25,2020-04-24,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Virginia,2020-03-24,2020-04-23,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Oklahoma,2020-03-25,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,North Carolina,2020-03-30,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Lebanon,,2020-03-22,2020-04-26,National,http://www.dailystar.com.lb/News/Lebanon-News/2020/Apr-09/504127-cabinet-debates-extending-lockdown-to-april-26.ashx,2020-04-04,False
Canada,Quebec,2020-03-13,2020-05-04,Province,https://globalnews.ca/news/6780602/quebec-april-5-quebec/,2020-04-04,False
Mexico,,2020-03-21,2020-04-30,National,https://mx.usembassy.gov/covid-19-information/,2020-04-04,False
Portugal,,2020-03-19,2020-04-17,National,https://24.sapo.pt/atualidade/artigos/parlamento-aprova-renovacao-do-estado-de-emergencia,2020-04-04,False
United States,Nevada,2020-03-17,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Hawaii,2020-03-25,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Albania,,2020-03-13,2020-04-19,National,https://www.reuters.com/article/us-health-coronavirus-albania/albania-extends-lockdown-till-end-of-coronavirus-outbreak-idUSKBN21J6AZ/,2020-04-04,False
United States,Alabama,2020-03-18,,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-04,False
Tunisia,,2020-03-22,2020-04-19,National,https://theaseanpost.com/article/surviving-virus-lockdown,2020-04-04,False
United States,District of Columbia,2020-04-01,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Delaware,2020-03-24,2020-05-15,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Connecticut,2020-03-23,2020-04-20,State,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,2020-04-04,False
United States,California,2020-03-19,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
United States,Florida,2020-04-03,2020-04-30,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Eritrea,,2020-04-02,2020-04-23,National,http://www.xinhuanet.com/english/2020-04/02/c_138941459.htm,2020-04-04,False
United States,Arizona,2020-03-31,,State,https://edition.cnn.com/2020/03/23/us/coronavirus-which-states-stay-at-home-order-trnd/index.html,2020-04-04,False
Azerbaijan,,2020-03-31,2020-04-20,National,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/azerbaijan-to-impose-curfew-amid-coronavirus-outbreak/1785680,2020-04-05,False
United States,Ohio,2020-03-23,2020-05-01,State,https://www.13abc.com/content/news/Gov-DeWine-extends-coronavirus--569322881.html,2020-04-06,False
Switzerland,,2020-03-17,2020-04-19,National,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,2020-04-06,False
Greece,,2020-03-23,2020-04-27,National,https://www.brusselstimes.com/all-news/104861/coronavirus-greece-extends-lockdown-to-27-april/,2020-04-06,False
United States,Indiana,2020-03-24,2020-04-20,State,https://www.wibc.com/news/coronavirus/holcomb-to-extend-statewide-lockdown-through-april-20/,2020-04-06,False
Croatia,Rest of area,2020-03-18,2020-04-19,National,https://www.total-croatia-news.com/news/42223-covid-19,2020-04-07,False
Nepal,,2020-03-24,2020-04-15,National,https://thediplomat.com/2020/04/nepal-extends-ongoing-lockdown-to-combat-covid-19/,2020-04-07,False
Denmark,,2020-03-13,2020-04-15,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-07,True
New Zealand,,2020-03-26,2020-04-22,National,https://www.newshub.co.nz/home/politics/2020/04/coronavirus-government-extends-new-zealand-s-state-of-national-emergency-during-covid-19-crisis.html,2020-04-07,False
United States,Illinois,2020-03-21,2020-04-30,State,https://web.archive.org/web/20200402034923/https://www.nbcchicago.com/news/local/illinois-stay-at-home-order-expected-to-be-extended-sources/2247274/,2020-04-07,False
Japan,Saitama,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Chiba,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Fukuoka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Hyōgo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Kanagawa,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Osaka,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Japan,Tokyo,2020-04-07,2020-05-06,Prefecture,https://www.scmp.com/news/asia/east-asia/article/3078955/coronavirus-japans-major-cities-go-quiet-after-state-emergency,2020-04-08,False
Pakistan,Azad Kashmir,2020-03-24,2020-04-14,Administrative,https://www.omanobserver.om/lockdown/,2020-04-08,False
United Arab Emirates,,2020-03-26,2020-04-17,National,https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137,2020-04-08,False
Singapore,,2020-04-07,2020-05-04,National,https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137,2020-04-08,False
Ireland,,2020-03-27,2020-05-05,National,https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-what-date-new-21847978,2020-04-09,False
Honduras,La Ceiba,2020-03-16,2020-04-19,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,Choluteca,2020-03-16,2020-04-19,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Honduras,San Pedro Sula,2020-03-17,2020-04-19,Municipality,https://covid19honduras.org/?q=honduras-tiene-9-casos-confirmados-de-coronavirus,2020-04-10,False
Honduras,Rest of area,2020-03-20,2020-04-19,National,https://covid19honduras.org/?q=toque-de-queda-absoluto-para-todo-el-pais,2020-04-10,False
Honduras,Central District,2020-03-16,2020-04-19,Municipality,https://covid19honduras.org/?q=toque-de-queda,2020-04-10,False
Madagascar,Antananarivo,2020-03-23,2020-04-21,City,https://www.themayor.eu/en/shops-and-restaurants-in-luxembourg-city-wont-pay-rent-during-lockdown,2020-04-10,False
Bangladesh,,2020-03-26,2020-04-25,National,https://www.dhakatribune.com/bangladesh/2020/03/23/govt-offices-to-remain-closed-till-april-4,2020-04-11,False
Georgia,,2020-03-31,2020-04-21,National,https://civil.ge/archives/344761,2020-04-13,False
Ukraine,,2020-03-17,2020-04-24,National,https://www.yahoo.com/news/turkey-imposes-48-hour-coronavirus-120902289.html,2020-04-13,False
Norway,,2020-03-12,2020-04-27,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Paraguay,,2020-03-20,2020-04-19,National,https://www.garda.com/crisis24/news-alerts/330931/paraguay-nationwide-quarantine-extended-through-april-19-update-4,2020-04-14,False
Poland,,2020-03-13,2020-05-03,National,https://www.reuters.com/article/us-health-coronavirus-poland-restriction/polands-coronavirus-restrictions-extended-towards-election-date-idUSKCN21R1SQ,2020-04-14,False
Nigeria,Ogun,2020-03-30,2020-04-28,City,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html,2020-04-14,
Nigeria,Abuja,2020-03-30,2020-04-28,City,https://www.aljazeera.com/news/2020/04/nigeria-extends-coronavirus-lockdown-key-cities-weeks-200413185335045.html,2020-04-14,
Austria,,2020-03-16,2020-04-14,National,https://www.cnbc.com/2020/04/08/coronavirus-some-european-countries-set-to-lift-lockdown-measures.html,2020-04-14,True
Armenia,,2020-03-24,2020-05-11,National,https://uk.reuters.com/article/uk-health-coronavirus-armenia/armenia-extends-state-of-emergency-to-stem-coronavirus-outbreak-idUKKCN21T0FL?fbclid=IwAR0yCUOiRj2J7LbJypkVJN_P_n4epRVHV9n9EBwdpvgdysjo7gKvH265wdU,2020-04-14,False
Liberia,,2020-04-10,2020-05-01,National,https://frontpageafricaonline.com/front-slider/liberia-president-weah-announces-3-weeks-state-of-emergency/,2020-04-14,False
Hungary,,2020-03-28,,National,https://uk.reuters.com/article/us-health-coronavirus-hungary-lockdown/hungary-prolongs-coronavirus-lockdown-indefinitely-as-infections-near-1000-idUKKCN21R2H8,2020-04-14,False
Czech Republic,,2020-03-16,2020-04-17,National,https://www.politico.eu/article/czech-republic-eases-lockdown-restrictions/,2020-04-14,True
